model_key,dataset,acc_defer_on_yexpert,rho_defer_with_ycorrect,p_defer_with_ycorrect_max,rho_error_with_yexpert,p_error_with_yexpert_max,n_correct,y_expert_rate,p_defer_mean,n
llama3_8b,ambigqa_kge2,1.0,0.06338222447713211,0.010209782552846802,,,704,0.0,0.00022191647440195084,2112
llama3_8b,chaosnli,0.6420413990007138,0.014437165025899005,0.8029181660723262,-0.002609590122871465,0.9877443706360791,1557,0.3127765881513205,0.5129590829213461,4670
llama3_8b,halueval_qa,1.0,-0.21019252380754136,1.4186404728535275e-115,,,4000,1.0,0.9999483426411947,12000
llama3_8b,medqa,0.9427086744830899,0.0033478785028109178,0.8097573654258673,-3.088152107465474e-05,0.9179611204912548,5089,0.5011899303508657,0.5223555763562521,15267
llama3_8b,pavlick_nli,0.728494623655914,-0.014798974561628202,0.7219787012137249,-0.009059076538670588,0.9163058827986149,248,0.5878136200716847,0.5273858904838562,744
llama3_8b,popqa,0.8715886499186697,0.0470156104368064,1.9263846489480494e-06,0.004438559564936446,0.5042339670858922,3689,0.8874329778902345,0.7455238103866577,11066
llama3_8b,pubmedqa,0.886,-0.22679883781567864,3.956336839984836e-14,0.017423201643949896,0.7243513077629586,500,0.10622222222222222,0.3094097673892975,1500
llama3_8b,triviaqa,1.0,0.05799351190913463,1.9570846884484962e-09,,,4000,1.0,0.9999412298202515,12000
mistral_7b,ambigqa_kge2,1.0,0.07397922658607263,0.0018482156104044438,,,704,0.0,0.0007041467470116913,2112
mistral_7b,chaosnli,0.6518201284796574,-0.0016638488040909328,0.9764402074662507,-0.002609590122871465,0.9877443706360791,1557,0.3127765881513205,0.49372027317682904,4670
mistral_7b,halueval_qa,1.0,-0.18283564678544706,4.42035204534276e-87,,,4000,1.0,0.9999175866444906,12000
mistral_7b,medqa,0.9229929477522325,0.007370936978533545,0.8877841702728817,-3.088152107465474e-05,0.9179611204912548,5089,0.5011899303508657,0.5135092238585154,15267
mistral_7b,pavlick_nli,0.7576164874551972,0.01061308044317729,0.7192293388018026,-0.009059076538670588,0.9163058827986149,248,0.5878136200716847,0.5262459516525269,744
mistral_7b,popqa,0.8593589975299717,0.05373168684256093,1.511991871479087e-07,0.004438559564936446,0.5042339670858922,3689,0.8874329778902345,0.7333469192186991,11066
mistral_7b,pubmedqa,0.9135555555555556,-0.17622994437433537,1.341854087683243e-09,0.017423201643949896,0.7243513077629586,500,0.10622222222222222,0.2681328256924947,1500
mistral_7b,triviaqa,1.0,0.09272872605308853,7.752093603714423e-21,,,4000,1.0,0.9999030431111654,12000
qwen2_5_7b,ambigqa_kge2,1.0,0.03600542535915268,0.2226489772748701,,,704,0.0,2.1226630754730042e-05,2112
qwen2_5_7b,chaosnli,0.7828693790149893,-0.0078807604878682,0.9958499177183625,-0.002609590122871465,0.9877443706360791,1557,0.3127765881513205,0.39275796214739483,4670
qwen2_5_7b,halueval_qa,1.0,-0.026754663010466972,0.20391508527162322,,,4000,1.0,0.9999504884084066,12000
qwen2_5_7b,medqa,0.9502849282766751,-0.0015707031687718562,0.9427081161286748,-3.088152107465474e-05,0.9179611204912548,5089,0.5011899303508657,0.5205472012360891,15267
qwen2_5_7b,pavlick_nli,0.8454301075268816,0.0032815116664339076,0.8670277141523888,-0.009059076538670588,0.9163058827986149,248,0.5878136200716847,0.5820196668306986,744
qwen2_5_7b,popqa,0.9002951985059341,0.02663489373130674,0.0258026225927666,0.004438559564936446,0.5042339670858922,3689,0.8874329778902345,0.7834633390108744,11066
qwen2_5_7b,pubmedqa,0.8942222222222221,-0.19338167677148754,1.329827329727618e-06,0.017423201643949896,0.7243513077629586,500,0.10622222222222222,0.27559156715869904,1500
qwen2_5_7b,triviaqa,1.0,0.00597352530145148,0.6510901964324313,,,4000,1.0,0.9999485810597738,12000
